strategy,ticker,entry_date,exit_date,action,entry_price,exit_price,shares,investment,return_pct
GoldenCross,AAPL,2022-12-02,2022-12-20,BUY,143.66,129.32,3,430.97,-0.1
GoldenCross,AAPL,2022-12-02,2023-08-17,BUY,143.66,175.09,3,430.97,0.22
GoldenCross,AAPL,2023-02-06,2023-08-17,BUY,150.16,175.09,1,150.16,0.16
GoldenCross,AAPL,2023-02-06,2024-01-18,BUY,150.16,184.18,4,600.65,0.22
GoldenCross,AAPL,2023-02-06,2024-08-21,BUY,150.16,225.04,1,150.16,0.5
GoldenCross,AAPL,2023-11-15,2024-08-21,BUY,185.92,225.04,2,371.84,0.21
GoldenCross,AAPL,2023-11-15,2024-11-20,BUY,185.92,226.82,3,557.76,0.22
GoldenCross,AAPL,2024-05-09,2025-01-28,BUY,180.91,229.6,3,542.74,0.27
GoldenCross,AAPL,2024-05-09,2025-03-18,BUY,180.91,213.23,2,361.83,0.18
GoldenCross,AAPL,2024-08-28,2025-03-18,BUY,226.43,213.23,1,226.43,-0.06
GoldenCross,AAPL,2024-08-28,2025-06-18,BUY,226.43,195.35,2,452.87,-0.14
GoldenCross,AAPL,2024-12-04,2025-06-18,BUY,241.55,195.35,2,483.1,-0.19
GoldenCross,AAPL,2024-12-04,2026-01-08,BUY,241.55,256.78,1,241.55,0.06
GoldenCross,AAPL,2025-03-07,2026-01-08,BUY,234.09,256.78,2,468.18,0.09
GoldenCross,AAPL,2025-03-07,2026-03-19,BUY,234.09,249.4,1,234.09,0.06
GoldenCross,AAPL,2025-06-06,2026-03-19,BUY,202.38,249.4,2,404.77,0.23
DeathCross,AAPL,2021-06-29,2021-10-04,SELL,131.52,138.52,6,789.11,-0.06
DeathCross,AAPL,2021-06-29,2022-02-01,SELL,131.52,170.28,1,131.52,-0.3
DeathCross,AAPL,2021-11-05,2022-02-01,SELL,148.63,170.28,4,594.52,-0.15
DeathCross,AAPL,2021-11-05,2022-05-04,SELL,148.63,156.44,2,297.26,-0.05
