strategy,ticker,return,max_drawdown,sharpe,trades
EMA65,MSFT,-100.0,-100.0,0.0,17
EMA75,MSFT,-100.0,-100.0,0.0,20
EMA85,MSFT,-100.0,-100.0,0.0,20
EMA100,MSFT,-100.0,-100.0,0.0,21
EMA125,MSFT,-100.0,-100.0,0.0,23
EMA150,MSFT,-100.0,-100.0,0.0,23
MTF_SMA,GOOGL,-100.0,-100.0,0.0,33
TrailStop,GOOGL,-100.0,-100.0,0.0,37
PullbackTrend,GOOGL,-100.0,-100.0,0.0,26
RSITrend,GOOGL,-100.0,-100.0,0.0,20
MACDHist,GOOGL,-100.0,-100.0,0.0,14
Ribbon,GOOGL,-100.0,-100.0,0.0,53
SMA3,GOOGL,-100.0,-100.0,0.0,36
SMA7,GOOGL,-100.0,-100.0,0.0,45
SMA8,GOOGL,-100.0,-100.0,0.0,43
SMA13,GOOGL,-100.0,-100.0,0.0,46
SMA21,GOOGL,-100.0,-100.0,0.0,56
SMA25,GOOGL,-100.0,-100.0,0.0,56
SMA30,GOOGL,-100.0,-100.0,0.0,57
SMA35,GOOGL,-100.0,-100.0,0.0,56
SMA40,GOOGL,-100.0,-100.0,0.0,56
SMA45,GOOGL,-100.0,-100.0,0.0,56
SMA55,GOOGL,-100.0,-100.0,0.0,56
SMA60,GOOGL,-100.0,-100.0,0.0,56
SMA65,GOOGL,-100.0,-100.0,0.0,54
SMA70,GOOGL,-100.0,-100.0,0.0,54
SMA75,GOOGL,-100.0,-100.0,0.0,52
SMA80,GOOGL,-100.0,-100.0,0.0,52
SMA90,GOOGL,-100.0,-100.0,0.0,52
SMA100,GOOGL,-100.0,-100.0,0.0,51
SMA120,GOOGL,-100.0,-100.0,0.0,52
SMA150,GOOGL,-100.0,-100.0,0.0,52
SMA180,GOOGL,-100.0,-100.0,0.0,52
EMA5,GOOGL,-100.0,-100.0,0.0,42
EMA6,GOOGL,-100.0,-100.0,0.0,43
EMA7,GOOGL,-100.0,-100.0,0.0,42
EMA8,GOOGL,-100.0,-100.0,0.0,43
EMA9,GOOGL,-100.0,-100.0,0.0,43
EMA10,GOOGL,-100.0,-100.0,0.0,43
EMA11,GOOGL,-100.0,-100.0,0.0,45
EMA12,GOOGL,-100.0,-100.0,0.0,48
EMA13,GOOGL,-100.0,-100.0,0.0,48
EMA14,GOOGL,-100.0,-100.0,0.0,48
EMA15,GOOGL,-100.0,-100.0,0.0,50
EMA16,GOOGL,-100.0,-100.0,0.0,50
EMA17,GOOGL,-100.0,-100.0,0.0,50
EMA18,GOOGL,-100.0,-100.0,0.0,50
EMA19,GOOGL,-100.0,-100.0,0.0,50
EMA20,GOOGL,-100.0,-100.0,0.0,51
EMA25,GOOGL,-100.0,-100.0,0.0,53
EMA30,GOOGL,-100.0,-100.0,0.0,55
EMA35,GOOGL,-100.0,-100.0,0.0,55
EMA40,GOOGL,-100.0,-100.0,0.0,54
EMA45,GOOGL,-100.0,-100.0,0.0,56
EMA55,GOOGL,-100.0,-100.0,0.0,56
EMA65,GOOGL,-100.0,-100.0,0.0,53
EMA75,GOOGL,-100.0,-100.0,0.0,53
EMA85,GOOGL,-100.0,-100.0,0.0,53
EMA100,GOOGL,-100.0,-100.0,0.0,53
EMA125,GOOGL,-100.0,-100.0,0.0,52
EMA150,GOOGL,-100.0,-100.0,0.0,52
MTF_SMA,AMZN,-100.0,-100.0,0.0,36
TrailStop,AMZN,-100.0,-100.0,0.0,38
PullbackTrend,AMZN,-100.0,-100.0,0.0,38
RSITrend,AMZN,-100.0,-100.0,0.0,14
MACDHist,AMZN,-100.0,-100.0,0.0,12
Ribbon,AMZN,-100.0,-100.0,0.0,54
SMA3,AMZN,-100.0,-100.0,0.0,47
