strategy,ticker,return,max_drawdown,sharpe,win_rate,trades,profit_factor,avg_trade
MACDCrossover,MSFT,-27.58829746865886,-86.66502748759304,-0.11249891626042466,100.0,2,,9.69841589822762
MACDCrossover,NVDA,-100.0,-100.0,0.0,20.0,10,0.0686813594986512,0.0
MACDCrossover,NFLX,-100.0,-100.0,0.0,0.0,10,0.0,0.0
MACDCrossover,TSLA,-100.0,-100.0,0.0,20.0,15,0.012374240608265651,0.0
MACDCrossover,SPY,0.7220511989385886,-1.3769428181476417,0.1896712724661993,41.37931034482759,58,1.27720044192306,0.2299161399200056
MACDCrossover,GOOGL,-100.0,-100.0,0.0,7.142857142857142,14,0.0005878566281753579,0.0
MACDCrossover,META,-100.0,-100.0,0.0,28.57142857142857,14,0.01069960603152377,0.0
MACDCrossover,AAPL,-46.579855615923414,-67.67995438495412,-0.4124728254180054,100.0,2,,13.81302536110567
BollingerBounce,QQQ,-48.5171209867203,-68.06924156343274,-0.5461147653729753,100.0,2,,10.633844392487202
BollingerBounce,AMZN,-100.0,-100.0,0.0,11.76470588235294,17,0.011803662888806764,0.0
BollingerBounce,MSFT,-19.384855155120448,-69.70500130848511,-0.13561715901002624,100.0,2,,3.978045137238273
BollingerBounce,NVDA,-100.0,-100.0,0.0,14.285714285714285,14,0.028604268077536285,0.0
BollingerBounce,NFLX,-100.0,-100.0,0.0,36.36363636363637,11,0.026596102694804565,0.0
BollingerBounce,TSLA,-100.0,-100.0,0.0,15.384615384615385,13,0.025520809978043322,0.0
BollingerBounce,SPY,2.3589291082221098,-2.031892912520128,0.46341179602316684,85.71428571428571,14,3.603178735966815,3.0264246205909284
BollingerBounce,GOOGL,-100.0,-100.0,0.0,15.384615384615385,13,0.02442287552946685,0.0
BollingerBounce,META,-100.0,-100.0,0.0,0.0,6,0.0,0.0
BollingerBounce,AAPL,-49.863082695690935,-73.53489993198241,-0.3834980306521287,100.0,3,,2.2728507879947957
EMAPullback,QQQ,-100.0,-100.0,0.0,11.11111111111111,18,0.0027975436193790216,0.0
EMAPullback,AMZN,-100.0,-100.0,0.0,3.7735849056603774,53,0.004276774949291662,0.0
EMAPullback,MSFT,-100.0,-100.0,0.0,12.5,16,0.00701880782171878,0.0
EMAPullback,NVDA,-100.0,-100.0,0.0,5.555555555555555,36,0.005709556904608346,0.0
EMAPullback,NFLX,-100.0,-100.0,0.0,50.0,58,0.2650009619897539,0.0
EMAPullback,TSLA,-100.0,-100.0,0.0,7.142857142857142,28,0.007581594793499926,0.0
EMAPullback,SPY,-0.10861983480874188,-2.237881862982738,-0.029182260407867557,39.473684210526315,76,1.2196841306791748,0.14423854554124205
EMAPullback,GOOGL,-100.0,-100.0,0.0,3.9215686274509802,51,0.005045890344337794,0.0
EMAPullback,META,-100.0,-100.0,0.0,31.746031746031743,63,0.29508802018237046,0.0
EMAPullback,AAPL,-100.0,-100.0,0.0,13.333333333333334,15,0.004888437394510027,0.0
VolumeSpike,AMZN,0.0,-0.0,,,0,,
VolumeSpike,NVDA,0.0,-0.0,,,0,,
VolumeSpike,NFLX,0.0,-0.0,,,0,,
VolumeSpike,TSLA,0.0,-0.0,,,0,,
VolumeSpike,GOOGL,0.0,-0.0,,,0,,
